Title,Genre,Rank,Year,Rating,Metascore,PG-Rating,Categories
Moonlight,Drama,42,2016,7.5,99.0,R,"Dramas, Independent Movies, LGBTQ Movies"
The Last Face,Drama,50,2016,3.7,16.0,R,Dramas
The Autopsy of Jane Doe,"Horror,Mystery,Thriller",62,2016,6.8,65.0,R,"Horror Movies, Independent Movies, Thrillers"
Wakefield,Drama,69,2016,7.5,61.0,R,Dramas
Inglourious Basterds,"Adventure,Drama,War",78,2009,8.3,69.0,R,Action & Adventure
Inception,"Action,Adventure,Sci-Fi",81,2010,8.8,74.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
The Hateful Eight,"Crime,Drama,Mystery",89,2015,7.8,68.0,R,"Action & Adventure, Thrillers"
Personal Shopper,"Drama,Mystery,Thriller",99,2016,6.3,77.0,R,"Dramas, International Movies, Thrillers"
The Departed,"Crime,Drama,Thriller",100,2006,8.5,85.0,R,"Dramas, Thrillers"
Legend,"Biography,Crime,Drama",101,2015,7.0,55.0,R,"Dramas, International Movies, Thrillers"
Hell or High Water,"Crime,Drama,Thriller",106,2016,7.7,88.0,R,"Dramas, Independent Movies"
The Bad Batch,"Romance,Sci-Fi",113,2016,6.1,65.0,R,"Dramas, Independent Movies, Thrillers"
Dangal,"Action,Biography,Drama",118,2016,8.8,,TV-PG,"Dramas, International Movies, Sports Movies"
The Place Beyond the Pines,"Crime,Drama,Thriller",136,2012,7.3,68.0,R,"Dramas, Independent Movies"
Room,Drama,144,2015,8.2,86.0,R,"Dramas, Independent Movies"
The Edge of Seventeen,"Comedy,Drama",147,2016,7.4,77.0,R,"Comedies, Dramas"
Superbad,Comedy,149,2007,7.6,76.0,R,"Comedies, Cult Movies"
White Girl,Drama,153,2016,5.8,65.0,UR,"Dramas, Independent Movies"
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",159,2010,7.5,69.0,PG-13,"Action & Adventure, Comedies, Cult Movies"
Mine,"Thriller,War",161,2016,6.0,40.0,TV-MA,"Dramas, International Movies, Thrillers"
Free Fire,"Action,Comedy,Crime",162,2016,7.0,63.0,R,"Action & Adventure, Comedies, Independent Movies"
Her,"Drama,Romance,Sci-Fi",174,2013,8.0,90.0,R,"Dramas, Romantic Movies, Sci-Fi & Fantasy"
Love,"Drama,Romance",186,2015,6.0,51.0,NR,"Cult Movies, Dramas, Independent Movies"
Drive,"Crime,Drama",189,2011,7.8,78.0,R,"Action & Adventure, Dramas, Independent Movies"
Below Her Mouth,Drama,192,2016,5.6,42.0,TV-MA,"Dramas, Independent Movies, International Movies"
Spring Breakers,Drama,212,2012,5.3,63.0,R,"Comedies, Cult Movies, Dramas"
American Honey,Drama,226,2016,7.0,79.0,R,"Dramas, Independent Movies"
The Lobster,"Comedy,Drama,Romance",227,2015,7.1,82.0,R,"Comedies, International Movies, Romantic Movies"
Pan's Labyrinth,"Drama,Fantasy,War",231,2006,8.2,98.0,R,"Dramas, International Movies, Sci-Fi & Fantasy"
A Kind of Murder,"Crime,Drama,Thriller",232,2016,5.2,50.0,R,Thrillers
20th Century Women,"Comedy,Drama",248,2016,7.4,83.0,R,"Dramas, Independent Movies"
The Conjuring,"Horror,Mystery,Thriller",255,2013,7.5,68.0,R,"Horror Movies, Thrillers"
Cloud Atlas,"Drama,Sci-Fi",268,2012,7.5,55.0,R,"Action & Adventure, Cult Movies, Dramas"
Zodiac,"Crime,Drama,History",278,2007,7.7,78.0,R,"Cult Movies, Dramas, Thrillers"
Sherlock Holmes,"Action,Adventure,Crime",282,2009,7.6,57.0,PG-13,"Action & Adventure, Comedies"
The Danish Girl,"Biography,Drama,Romance",284,2015,7.0,66.0,R,"Dramas, International Movies, LGBTQ Movies"
Jupiter Ascending,"Action,Adventure,Sci-Fi",288,2015,5.3,40.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
The Exception,Drama,294,2016,7.7,,R,"Dramas, Romantic Movies"
She's Out of My League,"Comedy,Romance",305,2010,6.4,46.0,R,"Comedies, Romantic Movies"
Vincent N Roxxy,"Crime,Drama,Thriller",308,2016,5.5,,R,"Dramas, Thrillers"
Snowpiercer,"Action,Drama,Sci-Fi",316,2013,7.0,84.0,R,"Action & Adventure, Cult Movies, International Movies"
Lovesong,Drama,322,2016,6.4,74.0,TV-MA,"Dramas, Independent Movies, Romantic Movies"
Green Room,"Crime,Horror,Thriller",329,2015,7.0,79.0,R,"Horror Movies, Thrillers"
Dallas Buyers Club,"Biography,Drama",333,2013,8.0,84.0,R,"Dramas, Independent Movies, LGBTQ Movies"
Lincoln,"Biography,Drama,History",334,2012,7.4,86.0,PG-13,Dramas
Before I Wake,"Drama,Fantasy,Horror",336,2016,6.1,,PG-13,"Horror Movies, Thrillers"
Spider-Man 3,"Action,Adventure",345,2007,6.2,59.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
The Theory of Everything,"Biography,Drama,Romance",358,2014,7.7,72.0,PG-13,"Dramas, Romantic Movies"
About Time,"Comedy,Drama,Fantasy",360,2013,7.8,55.0,R,"Comedies, Dramas, International Movies"
Step Brothers,Comedy,361,2008,6.9,51.0,R,Comedies
Zombieland,"Adventure,Comedy,Horror",364,2009,7.7,73.0,R,"Comedies, Horror Movies"
Swiss Army Man,"Adventure,Comedy,Drama",379,2016,7.1,64.0,R,"Comedies, Dramas, Independent Movies"
Hush,"Horror,Thriller",383,2016,6.6,67.0,R,"Horror Movies, Thrillers"
John Carter,"Action,Adventure,Sci-Fi",390,2012,6.6,51.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
Steve Jobs,"Biography,Drama",393,2015,7.2,82.0,R,Dramas
The Black Room,Horror,402,2016,3.9,71.0,TV-MA,Horror Movies
The Invitation,"Drama,Mystery,Thriller",406,2015,6.7,74.0,NR,"Horror Movies, Independent Movies, Thrillers"
