Title,Genre,Rank,Year,Rating,Metascore
Guardians of the Galaxy,"Action,Adventure,Sci-Fi",1,2014,8.1,76.0
Prometheus,"Adventure,Mystery,Sci-Fi",2,2012,7.0,65.0
Split,"Horror,Thriller",3,2016,7.3,62.0
Sing,"Animation,Comedy,Family",4,2016,7.2,59.0
Suicide Squad,"Action,Adventure,Fantasy",5,2016,6.2,40.0
The Great Wall,"Action,Adventure,Fantasy",6,2016,6.1,42.0
La La Land,"Comedy,Drama,Music",7,2016,8.3,93.0
Mindhorn,Comedy,8,2016,6.4,71.0
The Lost City of Z,"Action,Adventure,Biography",9,2016,7.1,78.0
Passengers,"Adventure,Drama,Romance",10,2016,7.0,41.0
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",11,2016,7.5,66.0
Hidden Figures,"Biography,Drama,History",12,2016,7.8,74.0
Rogue One,"Action,Adventure,Sci-Fi",13,2016,7.9,65.0
Moana,"Animation,Adventure,Comedy",14,2016,7.7,81.0
Colossal,"Action,Comedy,Drama",15,2016,6.4,70.0
The Secret Life of Pets,"Animation,Adventure,Comedy",16,2016,6.6,61.0
Hacksaw Ridge,"Biography,Drama,History",17,2016,8.2,71.0
Jason Bourne,"Action,Thriller",18,2016,6.7,58.0
Lion,"Biography,Drama",19,2016,8.1,69.0
Arrival,"Drama,Mystery,Sci-Fi",20,2016,8.0,81.0
Gold,"Adventure,Drama,Thriller",21,2016,6.7,49.0
Manchester by the Sea,Drama,22,2016,7.9,96.0
Hounds of Love,"Crime,Drama,Horror",23,2016,6.7,72.0
Trolls,"Animation,Adventure,Comedy",24,2016,6.5,56.0
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",25,2016,5.3,32.0
Paris pieds nus,Comedy,26,2016,6.8,
Bahubali: The Beginning,"Action,Adventure,Drama",27,2015,8.3,
Dead Awake,"Horror,Thriller",28,2016,4.7,
Bad Moms,Comedy,29,2016,6.2,60.0
Assassin's Creed,"Action,Adventure,Drama",30,2016,5.9,36.0
Why Him?,Comedy,31,2016,6.3,39.0
Nocturnal Animals,"Drama,Thriller",32,2016,7.5,67.0
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",33,2016,7.1,52.0
Deadpool,"Action,Adventure,Comedy",34,2016,8.0,65.0
Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",35,2016,5.6,49.0
Captain America: Civil War,"Action,Adventure,Sci-Fi",36,2016,7.9,75.0
Interstellar,"Adventure,Drama,Sci-Fi",37,2014,8.6,74.0
Doctor Strange,"Action,Adventure,Fantasy",38,2016,7.6,72.0
The Magnificent Seven,"Action,Adventure,Western",39,2016,6.9,54.0
5- 25- 77,"Comedy,Drama",40,2007,7.1,
Sausage Party,"Animation,Adventure,Comedy",41,2016,6.3,66.0
Moonlight,Drama,42,2016,7.5,99.0
